,学生ID,生源省市,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,裸眼视力(左),裸眼视力(右),身高,体重,考生类型,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类,大类.普通,大类.自招,大类.国防定向等,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩
571,c9aff408ee3dbd30d870,广东省,0,1,0,1,0,,,176,67,城镇应届,1,0,1,0,1,643,0,1,0,0,0,0,普通,1,0,0,0,0,0.04172851,1.18E-15,0,0.085714286,0.384615385,0
701,e3158f54a6b8d7e8940c,广东省,0,1,0,1,0,,,176,67,城镇应届,1,1,0,0,1,667,0,0,1,0,0,0,普通,1,0,0,0,0,0.03125,-0.250626309,0,0.2,0.564102564,0
754,717f554d8cc710cb7133,广东省,0,1,0,1,0,5.1,5.1,172,55,城镇应届,1,1,0,0,1,695,0,0,0,1,0,0,普通,1,0,0,0,0,0.000474046,-0.261240229,0,0.257142857,0.256410256,0
879,facc56bacfc6fac569aa,广东省,1,1,0,1,0,5,5,164,54,城镇应届,1,0,1,0,1,633,0,0,0,1,0,0,普通,1,0,0,0,0,0.027777778,-0.262245872,0,0.114285714,0.153846154,0
892,62c9f4617262c8b19d9e,广东省,0,1,0,1,0,,,167,57,城镇应届,1,1,0,0,1,688,1,0,0,0,0,2,博雅,0,1,0,0,0,0.048148148,1.490861621,0,0.085714286,0.153846154,0.344827586
985,c3c8d72febe628a112a2,广东省,0,1,0,1,0,4.7,5.1,182,64,城镇应届,1,1,0,0,1,623,1,0,0,0,0,5,自主,0,1,0,0,0,0.04172851,1.18E-15,0,0,0,0
997,33131830cbb90d0d3cc6,广东省,0,1,0,1,0,4.3,4.3,163,60,城镇应届,1,1,0,0,1,663,0,0,0,0,1,5,博雅,0,1,0,0,0,0.04172851,-0.148341527,0,0.114285714,0.153846154,0.275862069
443,ae30d5889233c9f08883,广西壮族自治区,1,1,0,1,0,4,4.1,160,51,城镇应届,1,0,1,0,1,668,0,0,0,0,0,2,博雅,0,1,0,0,0,0.005376344,-0.261681103,0,0.057142857,0.230769231,0
513,268d0bc27da18347a828,广西壮族自治区,0,0,0,1,0,5.1,4.9,190,90,城镇应届,1,1,0,0,1,680,0,1,0,0,0,3,博雅,0,1,0,0,0,0.002421308,-0.259705671,0,0.028571429,0.205128205,0
563,78984cf08bb7fa5a3960,广西壮族自治区,0,1,0,1,0,4,4.2,165,47,城镇应届,1,1,0,0,1,670,0,0,0,0,1,1,博雅,0,1,0,0,0,0.013636364,-0.256862841,0,0,0.102564103,0.034482759
567,bfbe9a55ee5f44bbd8c3,广西壮族自治区,1,0,0,1,0,,,159,51,城镇应届,1,0,1,0,1,647,0,0,1,0,0,0,普通,1,0,0,0,0,0.038461538,-0.234562975,0,0.028571429,0.076923077,0
649,97ff42301157efa032fa,广西壮族自治区,1,1,0,1,0,1.5,1.5,179,80,城镇应届,1,1,0,0,1,666,1,0,0,0,0,2,博雅,0,1,0,0,0,0.001663894,-0.262231895,0,0,0.128205128,0.034482759
757,921f3daed56290692e8a,广西壮族自治区,0,1,0,1,0,4.3,4.3,170,56,城镇应届,1,1,0,0,1,686,1,0,0,0,0,4,自主,0,1,0,0,0,0.034820457,-0.245612039,0,0,0.025641026,0.103448276
768,093b2da4556f1190c1f4,广西壮族自治区,0,1,0,1,0,4.9,4.8,184,78,城镇应届,1,1,0,0,1,657,0,1,0,0,0,4,博雅,0,1,0,0,0,0.003225806,-0.257248416,0,0.028571429,0.102564103,0
925,c1acbbcd6b3e1e63465d,广西壮族自治区,1,1,0,1,0,4.2,4.8,165,47,农村应届,1,0,1,0,1,626,0,0,1,0,0,3,筑梦,0,0,0,1,0,0.002298851,-0.260456514,0,0.028571429,0.051282051,0
30,7bbb8eea0dd7d0de5a59,贵州省,0,0,1,0,0,4.1,4.2,169,48,城镇应届,1,0,1,0,1,690,0,0,0,0,0,0,普通,1,0,0,0,0,0.025116279,-0.04057357,0,0.342857143,0.230769231,0
42,9bfe7b6e13443cc7346c,贵州省,1,1,0,1,0,,,164,54,城镇应届,1,0,1,0,1,686,0,0,0,1,0,0,普通,1,0,0,0,0,0.001666667,-0.262053262,0,0,0,0
67,105afdef86e986ef71fc,贵州省,0,1,0,1,0,,,176,67,农村应届,1,1,0,0,1,690,1,0,0,0,0,1,博雅,0,1,0,0,0,0.025,-0.19889209,0,0,0.025641026,0.137931034
